0,rating
elf warrior,50.0
wizard,50.0
dragon,50.0
mythical creature,50.0
dark sorcerer,50.0
fairies,50.0
unicorn,50.0
knight in armor,50.0
orc,50.0
mermaid,50.0
winged angel,50.0
demon,50.0
vampire,50.0
ghost,50.0
ancient goddess,50.0
mythical hero,50.0
fairy queen,50.0
fire mage,50.0
water nymph,50.0
shape-shifter,50.0
enchanted armor,50.0
forest guardian,50.0
shadow creature,50.0
ancient king,50.0
cursed prince,50.0
demon hunter,50.0
spirit,50.0
ghost knight,50.0
dragon rider,50.0
enchanted archer,50.0
elemental,50.0
dwarf,50.0
enchanted staff,50.0
magic swordsman,50.0
necromancer,50.0
dark knight,50.0
elven queen,50.0
phoenix,50.0
alchemist,50.0
shadow assassin,50.0
cursed sword,50.0
mystic healer,50.0
enchanted princess,50.0
celestial being,50.0
goblin,50.0
ethereal spirit,50.0
undead warrior,50.0
dreamweaver,50.0
nightwalker,50.0
forest elf,50.0
shadow mage,50.0
witch,50.0
fae warrior,50.0
mythical prince,50.0
woodland fairy,50.0
shapeshifting creature,50.0
spectral horse,50.0
holy paladin,50.0
rogue assassin,50.0
silver dragon,50.0
cursed armor,50.0
troll,50.0
haunted knight,50.0
seer,50.0
mountain giant,50.0
light mage,50.0
sorceress,50.0
stone golem,50.0
ice witch,50.0
thunder god,50.0
celestial knight,50.0
demon lord,50.0
nightmare beast,50.0
enchanted knight,50.0
enchanted forest spirit,50.0
dark jester,50.0
moon priestess,50.0
frost giant,50.0
elven ranger,50.0
cursed wizard,50.0
shadow sorcerer,50.0
desert warrior,50.0
moon mage,50.0
earth elemental,50.0
fallen angel,50.0
infernal demon,50.0
elven archer,50.0
fire spirit,50.0
storm mage,50.0
beast master,50.0
enchanted dagger,50.0
night elf,50.0
moon elf,50.0
shadow hunter,50.0
fae queen,50.0
magic lantern,50.0
celestial sorcerer,50.0
forest spirit,50.0
star guardian,50.0
blood mage,50.0
