0,rating
Paris Eiffel Tower,50.0
Great Wall of China,50.0
Taj Mahal,50.0
Machu Picchu,50.0
New York skyline,50.0
Tokyo neon streets,50.0
African savanna,50.0
Amazon rainforest,50.0
Venice canals,50.0
Australian outback,50.0
Arctic tundra,50.0
Arabian desert,50.0
Caribbean beaches,50.0
Scottish Highlands,50.0
Swiss Alps,50.0
Hawaiian volcanoes,50.0
Egyptian pyramids,50.0
Indian temples,50.0
Brazilian carnival,50.0
Spanish flamenco dancers,50.0
Italian vineyards,50.0
Chinese lantern festival,50.0
Japanese cherry blossoms,50.0
Greek ruins,50.0
Moroccan markets,50.0
Turkish bazaars,50.0
French castles,50.0
British countryside,50.0
Russian cathedrals,50.0
Norwegian fjords,50.0
Swedish northern lights,50.0
German Oktoberfest,50.0
Irish cliffs,50.0
Finnish saunas,50.0
Icelandic geysers,50.0
Dutch windmills,50.0
Mexican Day of the Dead,50.0
Cuban street art,50.0
Canadian Rockies,50.0
Alaskan glaciers,50.0
South African safaris,50.0
Peruvian Andes,50.0
Chilean Atacama desert,50.0
Argentine tango,50.0
Bolivian salt flats,50.0
Colombian coffee farms,50.0
Caribbean coral reefs,50.0
Thai floating markets,50.0
Vietnamese rice paddies,50.0
Indian spice markets,50.0
Nepalese mountains,50.0
Bhutan monasteries,50.0
Sri Lankan tea fields,50.0
Mongolian yurts,50.0
Tibetan temples,50.0
Korean palaces,50.0
Indonesian islands,50.0
Malaysian rainforests,50.0
Singaporean skyline,50.0
Cambodian Angkor Wat,50.0
Philippine beaches,50.0
Papua New Guinea tribes,50.0
New Zealand fjords,50.0
Australian coral reefs,50.0
Pacific islands,50.0
Antarctic icebergs,50.0
Polynesian hula dancers,50.0
Hawaiian luaus,50.0
Native American totems,50.0
Alaskan igloos,50.0
Inca ruins,50.0
Maori culture,50.0
Aboriginal rock art,50.0
Arabian palaces,50.0
Saharan nomads,50.0
Mediterranean coasts,50.0
Balkan villages,50.0
Balkan folklore,50.0
Balkan mountains,50.0
Portuguese tiles,50.0
Caribbean rum distilleries,50.0
Tibetan prayer flags,50.0
Moroccan dunes,50.0
Kazakh steppes,50.0
Silk Road bazaars,50.0
Italian pizza streets,50.0
Greek mythology sites,50.0
Nordic sagas,50.0
Aztec ruins,50.0
Mayan culture,50.0
African tribal dances,50.0
Masai Mara wildlife,50.0
Zulu warriors,50.0
Turkish Cappadocia,50.0
Persian carpets,50.0
Afghan mountains,50.0
Himalayan trekking,50.0
Arctic wildlife,50.0
Amazonian tribes,50.0
Balinese temples,50.0
