0,rating
lion,50.0
tiger,50.0
wolf,50.0
eagle,50.0
bear,50.0
deer,50.0
fox,50.0
rabbit,50.0
owl,50.0
horse,50.0
dog,50.0
cat,50.0
elephant,50.0
dolphin,50.0
shark,50.0
turtle,50.0
whale,50.0
kangaroo,50.0
gorilla,50.0
penguin,50.0
parrot,50.0
cheetah,50.0
leopard,50.0
rhinoceros,50.0
giraffe,50.0
peacock,50.0
flamingo,50.0
swan,50.0
crocodile,50.0
snake,50.0
frog,50.0
butterfly,50.0
dragonfly,50.0
honeybee,50.0
squirrel,50.0
hedgehog,50.0
raccoon,50.0
bat,50.0
jellyfish,50.0
octopus,50.0
antelope,50.0
hyena,50.0
meerkat,50.0
chameleon,50.0
hamster,50.0
guinea pig,50.0
moose,50.0
buffalo,50.0
lynx,50.0
koala,50.0
platypus,50.0
seal,50.0
walrus,50.0
sea lion,50.0
porcupine,50.0
armadillo,50.0
sloth,50.0
panda,50.0
red panda,50.0
hummingbird,50.0
starfish,50.0
clownfish,50.0
manta ray,50.0
stingray,50.0
barracuda,50.0
macaw,50.0
cockatoo,50.0
albatross,50.0
ibis,50.0
flamingo flock,50.0
snowy owl,50.0
barn owl,50.0
white wolf,50.0
black panther,50.0
snow leopard,50.0
prairie dog,50.0
musk ox,50.0
bison,50.0
carp,50.0
koi fish,50.0
sparrow,50.0
robin,50.0
hummingbird,50.0
nightingale,50.0
toucan,50.0
mongoose,50.0
orca,50.0
narwhal,50.0
puffin,50.0
blue jay,50.0
zebra,50.0
wild boar,50.0
baboon,50.0
lemur,50.0
orangutan,50.0
crocodile in swamp,50.0
komodo dragon,50.0
gecko,50.0
crab,50.0
seahorse,50.0
