0,rating
mountains,50.0
river,50.0
forest,51.0
ocean,50.0
waterfall,51.0
sunset,50.0
sunrise,50.0
valley,50.0
desert,50.0
beach,50.0
meadow,50.0
island,50.0
cliffs,50.0
pine trees,50.0
snow-capped peaks,50.0
lake,50.0
field of flowers,50.0
starry night,50.0
aurora borealis,50.0
mist,50.0
foggy forest,50.0
wildflowers,50.0
tropical rainforest,50.0
savannah,50.0
autumn leaves,50.0
cherry blossoms,50.0
grassy hills,50.0
canyon,50.0
cave,50.0
jungle,50.0
coral reef,50.0
waves crashing,50.0
volcano,50.0
geyser,50.0
sand dunes,50.0
rocky coastline,50.0
glacier,50.0
mossy rocks,50.0
redwood trees,50.0
lavender fields,50.0
sunflower field,50.0
rice terraces,50.0
cactus,50.0
mountain cabin,50.0
autumn forest,50.0
arctic landscape,50.0
mountain lake,50.0
rocky cliffs,50.0
underwater scene,50.0
thunderstorm,50.0
rolling hills,50.0
pebble beach,50.0
highlands,50.0
rainforest canopy,50.0
bay,50.0
cloudy sky,50.0
rainforest river,50.0
coral,50.0
misty valley,50.0
prairie,50.0
boulders,50.0
sand beach,50.0
lagoon,50.0
pine forest,50.0
apple orchard,50.0
waterfalls,50.0
tulip field,50.0
misty lake,50.0
alpine village,50.0
open field,50.0
wetlands,50.0
tropical island,50.0
sandstone cliffs,50.0
desert canyon,50.0
mountain range,50.0
autumnal trees,50.0
coastal cliffs,50.0
icebergs,50.0
storm clouds,50.0
cherry trees in bloom,50.0
mountain trail,50.0
snowy forest,50.0
fjord,50.0
rainbow,51.0
wild river,50.0
savanna sunset,50.0
lush valley,50.0
river bend,50.0
olive grove,50.0
crystal clear lake,50.0
moonlit forest,50.0
swamp,50.0
ocean waves,50.0
remote island,50.0
foggy mountain,50.0
barren desert,50.0
rolling clouds,50.0
cliffs by the sea,50.0
quiet lake,50.0
waterfall pool,50.0
