0,rating
ancient temple,50.0
cathedral,50.0
skyscraper,50.0
castle,50.0
medieval village,50.0
pagoda,50.0
bridge,50.0
clock tower,50.0
lighthouse,50.0
palace,50.0
modern cityscape,50.0
ruins,50.0
stone bridge,50.0
cobblestone streets,50.0
historic monument,50.0
bell tower,50.0
traditional market,50.0
small village,50.0
roman architecture,50.0
gothic cathedral,50.0
victorian houses,50.0
city skyline,50.0
opera house,50.0
old library,50.0
subway station,50.0
city square,50.0
ancient ruins,50.0
aqueduct,50.0
skyscraper silhouette,50.0
gothic arches,50.0
clock tower,50.0
canal houses,50.0
colosseum,50.0
abandoned building,50.0
railway station,50.0
vintage storefront,50.0
amusement park,50.0
fortress walls,50.0
mausoleum,50.0
clock tower,50.0
bazaar,50.0
residential block,50.0
industrial area,50.0
metro line,50.0
European street,50.0
fountain,50.0
modern glass buildings,50.0
colorful houses,50.0
famous landmark,50.0
country cottage,50.0
ivy-covered walls,50.0
windmill,50.0
round tower,50.0
ancient city gate,50.0
small church,50.0
farm house,50.0
high-rise buildings,50.0
art deco theater,50.0
old city walls,50.0
sports stadium,50.0
retro diner,50.0
tramway,50.0
Roman column,50.0
palace gates,50.0
rooftop view,50.0
skyscraper rooftop,50.0
old town square,50.0
amphitheater,50.0
observatory,50.0
winding alley,50.0
university campus,50.0
police station,50.0
city library,50.0
bazaar street,50.0
neon district,50.0
canal bridge,50.0
airport terminal,50.0
marketplace,50.0
underground tunnel,50.0
port city,50.0
medieval castle,50.0
art gallery,50.0
fashion district,50.0
botanical garden,50.0
skyscraper glass,50.0
bridge over river,50.0
wooden cabin,50.0
urban park,50.0
fire escape,50.0
marble steps,50.0
gothic windows,50.0
boardwalk,50.0
industrial warehouse,50.0
public plaza,50.0
greenhouse,50.0
historical fountain,50.0
modern office,50.0
suburban houses,50.0
narrow alleyway,50.0
museum courtyard,50.0
